pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31,pca_32,pca_33,pca_34,pca_35,pca_36,pca_37,pca_38,pca_39,pca_40,pca_41,pca_42,pca_43,pca_44,pca_45,pca_46,pca_47,pca_48,pca_49,label
-10.174597,11.345884,-2.0392368,4.1352363,6.876277,0.16968907,3.4275227,5.8604054,-0.12907371,4.586625,-8.428091,0.34129107,-2.9625266,-2.3831725,-1.4344307,-1.6321698,1.5974754,2.2792952,1.766894,-2.5910301,-1.2571613,-5.8737636,-1.4484864,7.3683405,-1.6987627,0.7877757,2.6934052,-0.1994097,0.121768236,6.3263693,-2.2605243,2.7219093,0.027664097,-2.3026607,-0.3421494,0.22409831,2.6100035,-1.9607145,-1.5699096,-2.1163816,3.5310664,1.6963373,-0.20787077,0.19246697,-0.73910815,2.782708,3.6225271,-1.5086166,2.101105,-0.0066369628,0
-3.2321513,10.939971,3.2276132,-5.0000744,-1.3303487,-2.8813272,0.90097123,8.927601,-5.6123,10.916928,-11.658526,-0.2861178,6.548019,6.618922,0.726603,7.661994,-1.1210291,-1.4597317,2.1956306,-5.0062604,-5.407341,-1.8535166,-8.208101,3.8480473,-3.0888724,2.8522134,-1.8560805,5.040111,-6.11649,-1.5398813,2.0635111,0.34569684,-9.695793,-2.0859683,1.2642046,6.1426454,-1.380912,-4.0307703,-0.15891406,-2.5180037,3.5645294,0.01748754,-0.86785144,0.59218544,-2.4709609,-1.6010933,1.4240185,-1.5048531,-0.6892185,-4.8114457,0
6.7552996,17.877487,2.153323,-0.77852345,0.5919972,7.761377,1.4140471,2.0031521,-9.989207,9.689913,-5.234847,4.6303115,-1.7721597,5.6891413,4.9913306,-14.238894,-0.677594,0.4152186,3.5345194,-3.1529968,-0.4634985,-5.4436884,8.366989,-2.3258278,3.1836674,-0.27026165,10.70433,-5.20671,6.7209806,2.4715273,2.5002353,-2.3367457,-5.799459,-12.957492,-0.98366207,-1.8638043,0.3286305,-5.940229,-8.725748,1.8072176,-3.2275825,-2.6154006,-2.0895355,4.9938455,5.6067357,0.65693307,-2.5998154,5.914472,1.3338757,2.5858722,0
-17.158657,-1.2638083,-4.0756087,-11.404899,9.949596,2.7272482,3.0538886,7.494817,1.513894,-8.332241,1.1042064,-9.5169735,0.60449445,5.113018,1.292138,3.396715,-0.23566814,-1.8489442,1.6426315,-0.065188386,-1.0172877,1.3898568,0.40478244,-0.47115993,1.8278826,5.1093836,-2.5054526,-1.2694626,-4.9816127,2.4559953,1.8566931,2.992866,-4.9214444,-2.3594444,-6.797194,-1.5060592,1.6658895,-0.18728636,-2.0011954,2.723638,1.9577613,3.9171903,-3.9328625,-3.0646858,2.361357,-1.9562441,0.105080746,-3.252877,1.8116914,-1.0263453,0
0.58238316,-7.871691,9.705722,0.29097915,8.904232,3.1814983,4.133286,-0.25599688,-4.911734,-1.8858469,0.20269075,4.523243,0.036484145,2.3268895,4.8416004,-3.9823372,5.814623,5.496112,-2.8401473,1.9602685,0.47980207,3.6267295,-7.1479106,-1.1017425,4.771464,1.4470184,1.1013752,-3.8166687,-1.6048511,-1.7101387,-1.5984333,-5.6202955,-3.558534,3.74437,1.8595859,-3.459571,-1.9357696,-5.2619796,-0.48272246,0.21702085,-1.481199,0.65660274,0.26477733,-4.8684134,2.1424582,0.580302,-0.052001983,0.6966539,-3.6473548,-2.5037615,0
5.671232,-0.95708954,2.6229877,-6.953402,2.3948512,6.6227164,-1.2095815,-1.6016085,-15.165229,-8.049942,-8.160144,-8.541764,-0.4569899,7.1851015,-9.631684,-2.7621248,-1.3029083,3.1401699,-9.796484,3.9136865,-7.6915984,-6.457126,-6.781297,-0.44392735,-5.0414186,-4.805418,-4.8867435,6.005947,0.76957345,2.6558628,4.4080987,-1.3369861,-4.932838,1.6435702,4.783001,4.881692,-2.4302688,4.8499217,1.4699469,-4.721107,4.1856894,-1.4093496,0.35672194,0.29798886,-0.51344657,-3.7822945,1.3461586,-1.5803078,-0.7521625,-3.9491556,0
2.2768512,-8.620886,-2.012599,-0.91431373,-17.49793,4.892887,7.2285147,-7.1201944,-3.6410081,-2.229518,0.14300929,-6.9796786,-9.506122,6.6876345,1.287312,-1.1280334,2.5516114,-0.69692993,-3.888816,-0.39590943,-2.8634393,7.141411,2.1802967,3.371085,-1.4817363,4.356059,5.421452,-11.156012,-5.741753,-0.6765214,-3.3379114,5.199391,1.1783404,5.241175,-4.500649,-1.0831512,-2.3445263,0.22424783,2.5206914,-1.4795562,-3.8079903,-3.409975,-6.243253,-5.101054,-5.9727798,-1.6776267,0.15609372,-2.77155,-3.4894242,1.2181739,0
-6.051902,4.8631487,-1.8358867,5.0515337,5.444541,0.40910414,16.190071,1.1294622,1.8776213,1.6664904,-3.694056,2.9674652,-1.7492007,0.28665054,0.6604665,-0.84250486,-0.41709855,-2.2589738,1.2415065,4.4770265,0.3740558,-5.666686,1.071473,-1.6484958,-1.661861,-1.5597779,-0.3140929,1.7763971,-1.8225541,0.7209649,1.5799295,2.9369133,-1.7316598,-0.5289765,-0.28958675,2.8023343,4.3835998,1.3913093,0.6595663,-3.248,-3.6191988,-1.4891589,4.765076,-1.7948346,-1.5906425,-0.74429613,4.3568215,-0.3897228,-3.499642,5.9756875,0
-7.3485103,21.41449,-6.460497,-2.4404273,-8.739113,5.0091114,7.3067694,-3.3589299,1.5111027,-6.8825927,4.2913275,6.9098883,3.9492648,-1.389538,-7.1490693,-1.2088374,1.2286255,-1.7773404,-3.2756877,-1.358843,-4.900379,-5.855802,3.024803,-3.0848658,0.3943286,0.10067335,-1.6795192,-2.716145,-0.401021,-6.1311884,2.4521275,-4.5308127,-2.0414822,4.4899,0.54557705,1.4835273,-1.507357,-1.1728547,0.58641726,0.43274772,-1.1909746,5.230739,-1.1466066,-1.6520594,-0.23863262,1.8114718,0.8159437,-0.025888283,-0.82409173,-1.2639514,0
-6.0831475,-9.524833,7.3524127,4.109626,3.8742106,6.328892,2.8437872,5.440461,-4.4034286,-9.043278,-2.872161,-1.4710176,2.3659427,1.9893066,-1.8961124,-2.5984402,5.4738507,5.7176595,0.23664154,-2.456395,3.2019687,0.20322531,-3.5291216,1.3094964,2.6229637,0.31661558,2.0770113,0.96110094,2.179904,2.489732,-0.3522083,0.797715,-3.5488055,-2.2274222,-0.010062445,-1.5432961,1.305782,0.025452629,3.961625,-5.4718475,3.0102794,-3.7145143,3.4383745,3.2655458,0.32180804,1.9567457,-1.5766263,-0.37835705,0.06018093,3.9759507,0
-2.719041,-3.623595,-5.7386327,-7.877362,-22.07596,3.8770144,3.3193622,-2.0697882,-6.2114053,1.0452526,3.247319,-5.4265523,-8.158437,1.2740605,1.1479839,-5.0128713,-0.2698737,-0.55361384,-5.7552485,7.8678184,0.30609787,3.6226907,6.3012915,-5.327827,-2.5981054,-4.3520327,-2.351755,-0.7935871,0.6077189,-5.790796,-3.0495086,4.4759927,-2.1187055,2.919517,3.557002,1.5240573,-2.777777,1.2230487,1.7840872,3.6101177,2.3839502,-4.9972506,4.2783566,-1.0723864,2.4565134,5.793948,1.1896837,4.150844,3.143849,0.36285788,0
-0.8188469,-9.704211,-9.699755,-2.7094257,-9.941533,7.044341,-2.3984778,0.6610532,-10.578422,1.8975811,-5.849978,0.087984666,-5.793567,4.611082,5.171048,-1.3257442,1.9308603,2.6462753,3.686418,9.266178,-4.4331594,-1.118586,6.8706794,-3.4709911,-0.4678418,-2.8221922,-11.8286,1.8584167,6.7146983,-5.6575055,-1.9750847,-1.5977746,-0.067376435,-0.5274103,0.94698566,-3.4462564,-1.9077466,-1.905346,-4.334253,0.5551286,6.3557916,-1.1645719,5.211947,5.5140634,7.206905,-1.1385651,1.5762792,-2.9685001,0.21301548,3.4099438,0
1.8340585,-7.100831,-4.9206777,12.75926,-1.8207694,1.7588077,1.2610765,5.128424,-2.3068442,-4.427375,-4.218118,-0.31788924,-0.9537672,-0.84797233,-0.3148009,4.6222963,3.5117633,4.960672,0.59967375,-0.9614908,0.23948386,3.890254,-0.98360366,5.2615857,-1.2392364,0.89646405,3.3759022,2.2527356,1.2750958,-3.6866403,-2.1404433,-1.3358983,-6.0053387,-0.119395725,0.6907798,-2.5416057,-0.6277589,-1.8756518,3.9321282,0.44403893,-0.13805346,1.967899,-1.2765175,0.5172489,0.30831662,0.6060306,-0.26269776,2.734265,-2.8542497,-2.6360795,0
