GLCMcorrelation,GlobalEntropy,LBPentropy,EdgeDensity,EnergyRatio,SpectralVariance,Mean_RGB,Std_RGB,Skew_RGB,Label
0.9324679,5.839577,14.45231,0.2148823,0.7511404,1.63277,58.45194,21.13783,1.198435,0
0.918674,6.53944,11.48552,0.2168367,0.7644868,1.275443,47.81522,29.13848,1.258098,0
0.9442621,7.201598,13.93749,0.2222577,0.7694752,1.249636,82.34536,44.56813,0.02349316,0
0.9684923,6.014904,4.352518,0.2078566,0.7645301,1.176649,78.08433,41.78768,-0.9960157,0
0.935281,7.292916,9.320901,0.1827168,0.7718158,1.188211,89.14146,47.16202,0.01636559,0
0.9720048,7.175088,10.20167,0.1887755,0.7678544,1.243529,79.23732,61.75801,0.539227,0
0.9567716,7.396526,6.325187,0.2031949,0.7679924,1.111413,108.3822,71.00929,-0.08006491,0
0.901223,7.172687,11.131,0.2133291,0.7752891,0.8294508,62.48441,41.96662,0.9220762,0
0.9733966,7.298926,10.12778,0.1862245,0.7734768,1.129184,118.2606,43.77668,-0.1044138,0
0.9227658,6.997342,11.09621,0.2350128,0.770843,1.025773,71.75683,42.95805,1.007569,0
0.9468793,7.304579,11.92986,0.1827168,0.7745085,1.24206,120.6827,51.56219,-0.5287604,0
0.9524121,7.01249,11.5738,0.2302296,0.7699506,1.420349,83.53823,46.78424,0.08267763,0
0.8931378,6.389451,13.0329,0.2008929,0.7603791,1.25303,53.77471,28.04009,1.488152,0
0.7824696,6.732678,11.75843,0.2274368,0.7758794,1.019806,45.36391,31.10908,0.8016413,0
0.9557924,4.218375,5.39819,0.1878189,0.7648199,1.498494,199.2842,82.47295,-1.14897,0
0.9688058,6.740019,10.32817,0.2079082,0.7671339,1.610957,172.9304,37.82302,-1.79748,0
0.8883128,6.764739,11.12122,0.2484056,0.7833843,1.106814,146.946,47.06144,-0.5340378,0
0.8970038,7.070327,15.96562,0.1827168,0.7762049,1.375131,108.8657,43.55704,-0.5903044,0
0.9494004,7.522051,11.87248,0.2203444,0.7687826,1.258609,137.4686,70.59818,-0.6322048,0
0.9255736,7.443093,13.02096,0.1989796,0.7675874,1.317637,102.4449,54.83288,0.7001721,0
0.9544224,6.604395,11.30074,0.1941964,0.7640205,1.433248,99.35455,43.025,-0.9844906,0
0.9332346,7.179187,12.37067,0.2142857,0.7632414,1.508032,75.23889,53.28569,0.5365414,0
0.9467535,6.26255,8.997082,0.1859056,0.7678087,1.336707,85.50748,39.61706,0.1114365,0
0.8983011,7.447138,14.11874,0.1865434,0.7769586,1.236482,110.9364,60.04884,0.01193523,0
0.9177227,7.278899,8.585363,0.1616071,0.7716174,1.497792,90.11536,61.54554,1.00651,0
0.9161074,6.920976,14.17108,0.1881378,0.7661459,1.326664,176.1994,40.01457,-1.296546,0
0.9599628,7.252728,10.63818,0.1702806,0.770371,1.85176,78.84438,68.38145,1.00703,0
0.9318052,7.303872,13.50576,0.174426,0.7649416,1.522783,148.3406,65.72556,-0.6807926,0
0.929876,7.45951,12.09172,0.2098214,0.7732362,1.297231,109.3786,58.75466,-0.1811296,0
0.9690853,6.699493,10.86435,0.1734391,0.7626891,1.473256,133.43,63.04475,-0.6963623,0
0.9556996,6.925554,9.844069,0.1795281,0.7704363,1.403426,131.0755,71.52377,-0.739778,0
0.9609683,7.142268,8.830717,0.1691617,0.745277,1.905013,91.14964,55.23091,0.3071322,0
0.9803729,6.961777,9.373741,0.2008929,0.7647949,1.434203,123.6043,47.74337,-0.8105111,0
0.7512596,7.231817,14.60252,0.244898,0.7758158,1.09153,88.6202,35.81789,0.5627874,0
0.9582734,7.66745,12.02046,0.1734694,0.7754066,1.052607,118.5694,72.2855,-0.106409,0
0.9385442,6.772727,11.76974,0.1623087,0.7596158,1.356292,47.9038,39.70858,1.30254,0
0.8943952,6.988877,15.86424,0.2276786,0.7659243,1.297326,74.76439,36.90837,0.9136587,0
0.8423056,6.429864,16.18516,0.2130102,0.7658572,1.267795,50.27744,26.78059,2.341727,0
0.8590354,7.310833,10.03509,0.2270408,0.7812231,0.8441219,91.88804,54.20594,0.3744901,0
0.9614164,6.859888,16.22567,0.2037628,0.7590168,1.401184,79.86794,42.27245,0.7029453,0
0.9124622,7.626404,15.27859,0.1793236,0.7729474,1.212938,81.70218,54.92569,0.6272466,0
0.8821696,7.244412,12.66963,0.1841298,0.7759615,1.065454,106.8772,42.39954,-0.1050768,0
0.9534818,5.183545,5.333123,0.1364796,0.7595273,1.437851,35.68325,31.0397,1.689205,0
0.9642357,7.067677,11.9225,0.2193878,0.7668239,1.283033,111.5994,54.27289,-0.1905947,0
0.9641111,7.360043,8.362988,0.2155612,0.7633653,1.434446,107.9251,65.31927,-0.1907726,0
0.9293698,6.970631,10.00755,0.1852679,0.7627373,1.393344,73.64671,41.56178,1.142718,0
0.9014776,6.266258,12.59496,0.1996173,0.756963,1.248423,51.45152,22.55454,0.1482003,0
0.9028,7.318408,10.76582,0.245,0.7712126,1.183393,98.30447,52.49232,0.1242268,0
0.9174874,6.255259,12.73128,0.1926692,0.7532623,1.401054,76.45086,33.45703,-0.9144905,0
0.9440699,6.771192,11.59419,0.1549745,0.7650136,1.279635,92.59025,46.79664,-0.2682308,0
0.9324816,7.197283,12.45341,0.2114711,0.7623794,1.516873,97.22131,55.28403,0.5710158,0
0.9400229,7.083117,9.457378,0.205676,0.7614789,1.520122,60.10522,43.51405,1.154462,0
0.8655614,7.123421,16.27553,0.1903529,0.7590503,1.366256,124.3797,44.93357,-0.7918698,0
0.9586245,6.818044,9.926488,0.239477,0.7635036,1.31306,127.0288,44.56974,-1.262949,0
0.914376,7.574557,9.967326,0.1843112,0.7698062,1.665743,79.70291,72.77573,1.101232,0
0.9147339,7.243041,10.79344,0.2021684,0.7785222,1.195363,119.1762,58.37845,-0.5596633,0
0.9590764,6.85699,7.064327,0.2043651,0.7609008,1.443137,102.963,45.91161,-0.7088006,0
0.9444333,7.333145,17.2851,0.1986607,0.7557778,1.477069,133.392,49.74693,-0.619925,0
0.9322764,7.426917,11.88995,0.1591199,0.773146,1.148781,77.95509,54.98307,0.4784284,0
0.8707113,7.423689,12.05719,0.1989796,0.7738232,1.073651,106.6378,52.73833,-0.1613799,0
0.9824257,7.368283,12.31626,0.1272321,0.7542157,1.624568,94.67924,60.75946,0.02466658,0
0.9121225,7.487822,11.15092,0.2244898,0.7737513,1.183239,102.3924,55.06059,0.24006,0
0.9369859,6.243753,11.31208,0.2171556,0.7649037,1.363304,29.72989,33.15081,1.683876,0
0.9741797,7.091121,9.799008,0.1877729,0.7601216,1.51744,113.8449,45.43678,-0.718654,0
0.9661267,7.826442,9.152294,0.1734993,0.7734134,1.21196,94.92413,73.93643,0.6096566,0
0.9597116,7.203,11.76393,0.1951531,0.76894,1.254443,120.9152,57.98121,-0.7085655,0
0.9216291,6.822108,13.53767,0.1967475,0.7641206,1.240003,88.24221,29.69049,0.2326784,0
